Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3-7 Yrs,Not Disclosed,Nashik,3.4,1303  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-and-vertex-ai-senior-analyst-clarice-technologie-nashik-3-to-7-years-301225500448
Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3-7 Yrs,Not Disclosed,Thane,3.4,1303  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-and-vertex-ai-senior-analyst-clarice-technologie-thane-3-to-7-years-301225500447
Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3-7 Yrs,Not Disclosed,Nagpur,3.4,1303  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-and-vertex-ai-senior-analyst-clarice-technologie-nagpur-3-to-7-years-301225500446
Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3-7 Yrs,Not Disclosed,Mumbai,3.4,1303  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-and-vertex-ai-senior-analyst-clarice-technologie-mumbai-3-to-7-years-161225501154
Analyst Data Governance & Mgmt,AMERICAN EXPRESS,1-7 Yrs,Not Disclosed,Gurugram,4.1,3924  Reviews,2 weeks ago,https://www.naukri.com/job-listings-analyst-data-governance-mgmt-american-express-india-gurugram-1-to-7-years-290526501522
Data Engineer / Analyst,Naghavi Fintech,2-5 Yrs,Not Disclosed,Bengaluru,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-analyst-naghavi-fintech-bengaluru-2-to-5-years-260724502899
SC S4 Data Readiness Analyst - Contract,Shell Pvt Ltd,4-8 Yrs,Not Disclosed,Chennai,3.9,2770  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-sc-s4-data-readiness-analyst-contract-shell-pvt-ltd-chennai-4-to-8-years-130526501684
Data Analyst-ETL | data warehousing| Informatica - Hyderabad,Infosys,3-5 Yrs,Not Disclosed,Hyderabad,3.5,49475  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-etl-data-warehousing-informatica-hyderabad-infosys-hyderabad-3-to-5-years-200526043580
Opening For Data Analyst | ETL | Informatica - Hyderabad,Infosys,3-5 Yrs,Not Disclosed,Hyderabad,3.5,49475  Reviews,2 weeks ago,https://www.naukri.com/job-listings-opening-for-data-analyst-etl-informatica-hyderabad-infosys-hyderabad-3-to-5-years-200526043437
Data Analyst-ETL | data warehousing| data modeling - Hyderabad,Infosys,5-8 Yrs,Not Disclosed,Hyderabad,3.5,49475  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-etl-data-warehousing-data-modeling-hyderabad-infosys-hyderabad-5-to-8-years-170526000094
Data Analyst-ETL | data warehousing| data modeling - Hyderabad,Infosys,3-5 Yrs,Not Disclosed,Hyderabad,3.5,49475  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-etl-data-warehousing-data-modeling-hyderabad-infosys-hyderabad-3-to-5-years-170526000093
